Date,Open,High,Low,Close,Adj Close,Volume
2018-04-25,27.540001,29.139999,26.510000,28.850000,28.290171,42060600
2018-04-26,29.000000,29.250000,27.170000,27.840000,27.299770,5870800
2018-04-27,27.990000,28.650000,27.500000,28.000000,27.456667,2796500
2018-04-30,27.850000,28.000000,27.549999,27.650000,27.113459,1111100
2018-05-02,27.000000,27.950001,27.000000,27.309999,26.780056,1285000
2018-05-03,27.110001,27.900000,26.799999,27.490000,26.956564,2371800
2018-05-04,27.670000,27.670000,26.400000,26.750000,26.230921,1898400
2018-05-07,26.650000,27.000000,26.600000,27.000000,26.476068,1125600
2018-05-08,27.150000,27.299999,26.799999,27.000000,26.476068,947200
2018-05-09,27.000000,27.090000,26.570000,26.900000,26.378012,999200
2018-05-10,27.100000,27.639999,26.780001,27.200001,26.672192,1189300
2018-05-11,27.490000,28.200001,27.480000,27.600000,27.064428,1758000
2018-05-14,27.889999,27.940001,27.320000,27.320000,26.789862,1051300
2018-05-15,28.100000,29.100000,28.000000,28.950001,28.388231,2702600
2018-05-16,28.950001,29.809999,28.549999,29.809999,29.231543,1768800
2018-05-17,30.000000,30.980000,30.000000,30.299999,29.712034,1561600
2018-05-18,30.299999,30.299999,29.230000,29.600000,29.025620,2940200
2018-05-21,29.700001,31.090000,29.000000,30.799999,30.202332,1901800
2018-05-22,30.799999,32.799999,30.799999,32.750000,32.114494,1388300
2018-05-23,32.750000,32.750000,31.000000,32.689999,32.055656,1463000
2018-05-24,31.799999,32.020000,30.420000,30.500000,29.908155,2466300
2018-05-25,30.309999,31.030001,30.030001,30.990000,30.388645,1687300
2018-05-28,30.990000,30.990000,29.030001,29.500000,28.927559,1282300
2018-05-29,29.799999,30.350000,28.850000,29.760000,29.182512,525900
2018-05-30,30.100000,30.750000,29.190001,30.000000,29.417854,1481600
2018-06-01,30.629999,30.990000,28.990000,29.889999,29.309990,1173100
2018-06-04,30.200001,30.799999,29.610001,30.299999,29.712034,912000
2018-06-05,30.100000,30.100000,28.799999,29.270000,28.702021,719100
2018-06-06,29.020000,29.180000,27.900000,28.480000,27.927353,1331300
2018-06-07,28.480000,28.480000,26.850000,27.600000,27.064428,1641200
2018-06-08,27.230000,28.389999,27.000000,27.650000,27.113459,1329000
2018-06-11,27.820000,28.250000,26.950001,27.799999,27.260546,606800
2018-06-12,27.799999,28.469999,27.340000,28.080000,27.535110,610700
2018-06-13,28.110001,28.110001,26.530001,26.740000,26.221117,2358100
2018-06-14,26.700001,27.389999,26.600000,27.020000,26.495684,1609700
2018-06-15,27.020000,27.049999,25.650000,27.000000,26.476068,1168700
2018-06-18,27.000000,27.000000,26.200001,26.379999,25.868101,1396000
2018-06-19,26.580000,28.389999,26.299999,27.850000,27.309574,478800
2018-06-20,28.010000,29.200001,27.900000,28.799999,28.241142,424800
2018-06-21,28.500000,29.180000,27.350000,28.209999,27.662588,740700
2018-06-22,28.010000,29.200001,27.730000,29.000000,28.437262,896400
2018-06-25,29.320000,29.500000,28.799999,29.500000,28.927559,2727500
2018-06-26,29.570000,30.000000,29.049999,29.620001,29.045231,459700
2018-06-27,29.700001,30.250000,29.110001,30.000000,29.417854,353900
2018-06-28,30.000000,30.280001,29.150000,30.280001,29.692425,2766200
2018-06-29,29.860001,30.530001,29.150000,29.889999,29.309990,1476800
2018-07-02,29.379999,29.690001,29.320000,29.400000,28.829496,264100
2018-07-03,29.610001,29.780001,28.660000,29.200001,28.633379,427500
2018-07-04,29.590000,29.730000,28.730000,29.290001,28.721634,962800
2018-07-05,29.290001,29.469999,28.780001,29.200001,28.633379,1173300
2018-07-06,29.200001,29.219999,28.549999,28.549999,27.995991,2307300
2018-07-10,28.730000,29.389999,28.400000,28.760000,28.201918,843800
2018-07-11,28.610001,29.450001,28.219999,28.709999,28.152889,815500
2018-07-12,28.650000,29.750000,28.120001,29.730000,29.153095,706000
2018-07-13,29.740000,29.900000,28.670000,28.820000,28.260757,668700
2018-07-16,28.830000,29.370001,28.309999,28.500000,27.946964,520200
2018-07-17,28.719999,28.879999,28.120001,28.370001,27.819487,458000
2018-07-18,28.309999,29.330000,28.250000,29.330000,28.760859,1333300
2018-07-19,29.200001,29.549999,28.549999,29.090000,28.525515,508100
2018-07-20,29.500000,30.309999,29.209999,30.000000,29.417854,1070600
2018-07-23,30.389999,30.480000,29.610001,29.930000,29.349215,435900
2018-07-24,30.110001,30.290001,29.740000,30.100000,29.515915,421700
