Date,Open,High,Low,Close,Adj Close,Volume
2020-04-16,6.480000,6.530000,5.900000,6.300000,6.300000,346200
2020-04-17,6.300000,6.450000,5.860000,6.000000,6.000000,696300
2020-04-20,5.880000,6.220000,5.710000,6.220000,6.220000,168300
2020-04-22,6.230000,6.790000,6.060000,6.770000,6.770000,1114400
2020-04-23,7.050000,7.050000,6.510000,6.990000,6.990000,298900
2020-04-24,6.680000,6.750000,5.830000,6.000000,6.000000,913400
2020-04-27,6.160000,6.230000,5.720000,6.120000,6.120000,366600
2020-04-28,6.100000,6.750000,5.950000,6.650000,6.650000,1252200
2020-04-29,6.870000,7.270000,6.650000,6.910000,6.910000,761900
2020-04-30,6.830000,7.190000,6.530000,6.680000,6.680000,570400
2020-05-04,6.550000,6.750000,6.450000,6.560000,6.560000,78300
2020-05-05,6.560000,6.670000,6.160000,6.370000,6.370000,335700
2020-05-06,6.300000,6.710000,6.050000,6.520000,6.520000,174900
2020-05-07,6.650000,6.680000,6.030000,6.030000,6.030000,131700
2020-05-08,6.080000,6.440000,6.060000,6.200000,6.200000,105100
2020-05-11,6.200000,6.490000,5.890000,6.030000,6.030000,261100
2020-05-12,6.200000,6.350000,5.780000,6.000000,6.000000,102300
2020-05-13,5.930000,6.110000,5.610000,5.800000,5.800000,388400
2020-05-14,5.800000,5.840000,5.550000,5.750000,5.750000,598200
2020-05-15,5.860000,6.440000,5.610000,6.300000,6.300000,344200
2020-05-18,6.350000,6.890000,6.120000,6.890000,6.890000,441300
2020-05-19,6.890000,7.040000,6.660000,6.890000,6.890000,214900
2020-05-20,6.930000,7.010000,6.570000,7.000000,7.000000,554400
2020-05-21,6.950000,7.100000,6.710000,6.970000,6.970000,616500
2020-05-22,6.810000,6.990000,6.710000,6.890000,6.890000,136400
2020-05-25,6.990000,7.400000,6.900000,7.400000,7.400000,970200
2020-05-26,7.350000,7.680000,6.830000,7.340000,7.340000,1471100
2020-05-27,7.270000,7.710000,7.220000,7.700000,7.700000,495900
2020-05-28,7.550000,7.670000,7.210000,7.450000,7.450000,1189300
2020-05-29,7.400000,7.400000,7.020000,7.020000,7.020000,886500
2020-06-01,7.000000,7.240000,6.800000,7.000000,7.000000,301400
2020-06-02,7.060000,7.430000,7.000000,7.430000,7.430000,685300
2020-06-03,7.400000,8.320000,7.380000,8.320000,8.320000,772400
2020-06-04,8.300000,8.860000,8.060000,8.110000,8.110000,484400
2020-06-05,8.400000,8.850000,8.060000,8.060000,8.060000,1058400
2020-06-08,8.290000,8.560000,8.000000,8.220000,8.220000,446700
2020-06-09,8.140000,8.400000,7.950000,8.120000,8.120000,318500
2020-06-10,8.220000,8.280000,7.840000,8.100000,8.100000,191100
2020-06-12,7.640000,7.920000,7.510000,7.790000,7.790000,282800
2020-06-15,7.570000,7.620000,7.150000,7.160000,7.160000,620100
2020-06-16,7.440000,7.500000,7.070000,7.250000,7.250000,872900
2020-06-17,7.250000,7.580000,7.170000,7.470000,7.470000,308900
2020-06-18,7.500000,7.780000,7.380000,7.480000,7.480000,322000
2020-06-19,7.620000,7.760000,7.030000,7.050000,7.050000,1245400
2020-06-22,7.120000,7.400000,7.120000,7.330000,7.330000,690400
2020-06-23,7.410000,7.620000,7.350000,7.560000,7.560000,318800
2020-06-24,7.510000,7.600000,7.120000,7.350000,7.350000,1005300
2020-06-25,7.310000,7.430000,7.010000,7.160000,7.160000,1741400
2020-06-26,7.150000,7.250000,7.040000,7.140000,7.140000,375300
2020-06-29,7.250000,7.390000,6.920000,7.230000,7.230000,211000
2020-06-30,7.300000,7.530000,7.200000,7.450000,7.450000,435500
2020-07-01,7.510000,8.270000,7.480000,8.260000,8.260000,1079000
2020-07-02,8.320000,8.690000,7.980000,8.370000,8.370000,769300
2020-07-03,8.370000,9.190000,8.240000,9.180000,9.180000,505400
2020-07-06,9.450000,10.000000,9.450000,10.000000,10.000000,561200
2020-07-07,9.890000,10.820000,9.840000,10.340000,10.340000,1015900
2020-07-08,10.350000,10.960000,10.320000,10.900000,10.900000,370800
2020-07-09,11.000000,11.470000,11.000000,11.470000,11.470000,436400
2020-07-10,11.500000,12.250000,11.000000,11.990000,11.990000,1704900
2020-07-13,12.000000,12.400000,11.200000,11.200000,11.200000,1301600
2020-07-14,11.450000,11.670000,10.720000,11.340000,11.340000,586400
2020-07-15,11.500000,11.870000,11.290000,11.580000,11.580000,481000
2020-07-16,11.540000,11.730000,11.100000,11.150000,11.150000,611800
2020-07-17,11.290000,11.790000,11.100000,11.790000,11.790000,668400
2020-07-20,11.790000,12.090000,11.710000,11.980000,11.980000,379500
2020-07-21,12.100000,12.290000,11.650000,12.060000,12.060000,1520800
2020-07-22,11.960000,12.200000,11.820000,12.200000,12.200000,798600
2020-07-23,12.200000,12.850000,11.840000,11.910000,11.910000,906300
2020-07-24,11.760000,11.860000,11.110000,11.350000,11.350000,685900
2020-07-27,11.270000,11.600000,11.210000,11.340000,11.340000,432600
2020-07-28,11.370000,11.470000,11.130000,11.330000,11.330000,585100
2020-07-29,11.450000,11.740000,11.390000,11.670000,11.670000,373200
2020-07-30,11.670000,11.730000,11.220000,11.600000,11.600000,403000
2020-07-31,11.610000,11.750000,11.160000,11.530000,11.530000,376600
2020-08-03,11.540000,11.630000,11.000000,11.000000,11.000000,397800
2020-08-04,10.910000,11.000000,10.370000,10.420000,10.420000,889200
2020-08-05,10.560000,10.780000,10.420000,10.720000,10.720000,187000
2020-08-06,10.930000,11.070000,10.740000,11.050000,11.050000,996900
2020-08-07,10.990000,11.050000,10.450000,10.860000,10.860000,454700
2020-08-10,10.860000,11.010000,10.590000,10.890000,10.890000,455300
2020-08-11,10.850000,11.320000,10.820000,10.930000,10.930000,535100
2020-08-12,10.940000,11.100000,10.530000,10.800000,10.800000,257300
2020-08-13,10.800000,10.960000,10.590000,10.590000,10.590000,206300
2020-08-14,10.490000,10.490000,9.750000,9.980000,9.980000,2194700
2020-08-17,9.980000,10.370000,9.430000,9.430000,9.430000,319300
2020-08-18,9.430000,9.880000,9.340000,9.880000,9.880000,328800
2020-08-19,9.950000,9.960000,9.710000,9.770000,9.770000,820800
2020-08-20,9.600000,9.870000,9.390000,9.700000,9.700000,636500
2020-08-21,9.700000,10.020000,9.400000,9.400000,9.400000,467600
2020-08-24,9.500000,9.640000,9.210000,9.320000,9.320000,367400
2020-08-25,9.320000,9.550000,9.230000,9.480000,9.480000,200300
2020-08-26,9.700000,9.700000,8.980000,9.180000,9.180000,427000
2020-08-27,9.490000,9.490000,8.820000,8.870000,8.870000,437600
2020-08-28,8.870000,9.030000,8.820000,8.930000,8.930000,200700
2020-08-31,8.920000,8.930000,8.650000,8.850000,8.850000,325000
2020-09-01,8.900000,9.290000,8.890000,9.290000,9.290000,519300
2020-09-02,9.400000,9.420000,8.970000,9.150000,9.150000,289400
2020-09-03,9.050000,9.280000,8.970000,9.250000,9.250000,487700
2020-09-04,9.160000,9.270000,8.690000,9.090000,9.090000,623900
2020-09-08,8.920000,9.000000,8.720000,8.890000,8.890000,455500
2020-09-09,8.930000,9.040000,8.820000,8.850000,8.850000,361100
2020-09-10,8.900000,8.950000,8.630000,8.870000,8.870000,257500
2020-09-11,8.810000,8.930000,8.460000,8.830000,8.830000,357500
2020-09-14,8.850000,9.180000,8.740000,8.850000,8.850000,627300
2020-09-15,8.940000,9.030000,8.720000,8.850000,8.850000,156400
2020-09-16,8.850000,8.990000,8.670000,8.800000,8.800000,221200
2020-09-17,8.720000,8.820000,8.660000,8.700000,8.700000,189200
2020-09-18,8.790000,8.820000,8.250000,8.550000,8.550000,475000
2020-09-21,8.400000,8.630000,8.080000,8.210000,8.210000,759100
2020-09-22,8.220000,9.130000,8.220000,8.880000,8.880000,748100
2020-09-23,8.810000,9.350000,8.780000,9.200000,9.200000,598300
2020-09-24,9.200000,9.390000,8.910000,9.390000,9.390000,590400
2020-09-25,9.380000,9.840000,9.160000,9.770000,9.770000,408500
2020-09-28,9.980000,10.080000,9.390000,9.500000,9.500000,409200
2020-09-29,9.510000,10.000000,9.140000,10.000000,10.000000,489000
2020-09-30,10.050000,10.250000,9.760000,9.790000,9.790000,599100
2020-10-01,9.900000,10.120000,9.660000,9.990000,9.990000,277100
2020-10-02,9.900000,10.160000,9.730000,10.060000,10.060000,219800
2020-10-05,10.120000,10.200000,9.530000,9.780000,9.780000,347400
2020-10-06,9.850000,10.460000,9.690000,10.200000,10.200000,570200
2020-10-07,10.650000,11.650000,10.650000,11.240000,11.240000,1246000
2020-10-08,11.300000,11.850000,11.030000,11.570000,11.570000,496900
2020-10-09,11.680000,11.930000,11.500000,11.840000,11.840000,327800
2020-10-13,11.840000,12.090000,11.450000,12.000000,12.000000,457900
2020-10-14,12.050000,12.110000,11.190000,11.450000,11.450000,788200
2020-10-15,11.320000,11.830000,11.230000,11.260000,11.260000,562300
2020-10-16,11.350000,11.600000,10.700000,11.510000,11.510000,485200
2020-10-19,11.640000,12.080000,11.000000,11.000000,11.000000,570200
2020-10-20,11.000000,11.270000,10.850000,11.110000,11.110000,263100
2020-10-21,11.180000,11.330000,10.900000,10.900000,10.900000,171000
2020-10-22,10.910000,11.140000,10.840000,10.880000,10.880000,444700
2020-10-23,10.920000,11.230000,10.860000,10.970000,10.970000,330700
2020-10-26,10.950000,11.000000,10.560000,10.910000,10.910000,179600
2020-10-27,11.000000,11.000000,10.450000,10.450000,10.450000,132000
2020-10-28,10.300000,10.370000,9.380000,9.510000,9.510000,650800
2020-10-29,9.500000,10.140000,9.090000,9.770000,9.770000,257400
2020-10-30,9.820000,9.820000,9.230000,9.550000,9.550000,306700
