Date,Open,High,Low,Close,Adj Close,Volume
2000-01-05,2.250000,2.250000,2.250000,2.250000,2.250000,2872
2000-01-06,2.250000,2.500000,2.250000,2.500000,2.500000,1036
2000-01-07,2.250000,2.750000,2.250000,2.750000,2.750000,9600
2000-01-10,3.000000,3.000000,2.000000,2.000000,2.000000,0
2000-01-11,2.500000,2.500000,2.250000,2.250000,2.250000,0
2000-01-12,2.250000,2.500000,2.250000,2.500000,2.500000,1000
2000-01-13,2.500000,2.500000,2.500000,2.500000,2.500000,600
2000-01-14,2.750000,4.250000,2.750000,4.250000,4.250000,21444
2000-01-17,4.750000,4.750000,4.000000,4.000000,4.000000,2396
2000-01-18,4.000000,4.500000,4.000000,4.500000,4.500000,3008
2000-01-19,4.500000,4.500000,3.750000,4.500000,4.500000,1428
2000-01-20,3.750000,3.750000,3.500000,3.750000,3.750000,3412
2000-01-21,3.250000,3.500000,3.250000,3.500000,3.500000,1992
2000-01-24,3.250000,3.250000,3.250000,3.250000,3.250000,488
2000-01-25,3.250000,3.250000,3.250000,3.250000,3.250000,0
2000-01-26,3.250000,3.500000,3.250000,3.500000,3.500000,1344
2000-01-27,3.500000,3.750000,3.250000,3.250000,3.250000,1208
2000-01-28,3.500000,3.500000,3.250000,3.250000,3.250000,0
2000-01-31,3.500000,4.000000,3.500000,4.000000,4.000000,400
2000-02-01,3.750000,3.750000,3.500000,3.500000,3.500000,0
2000-02-02,3.500000,3.500000,3.000000,3.000000,3.000000,1440
2000-02-03,3.250000,3.750000,3.250000,3.500000,3.500000,8264
2000-02-04,3.750000,3.750000,3.250000,3.250000,3.250000,0
2000-02-07,3.750000,4.250000,3.750000,4.000000,4.000000,3604
2000-02-08,3.750000,4.250000,3.750000,4.000000,4.000000,1860
2000-02-09,3.750000,4.250000,3.750000,4.000000,4.000000,4920
2000-02-10,4.000000,4.000000,3.750000,3.750000,3.750000,804
2000-02-11,3.750000,3.750000,3.250000,3.250000,3.250000,3560
2000-02-14,3.500000,3.500000,3.000000,3.000000,3.000000,5088
2000-02-15,3.250000,3.250000,3.000000,3.000000,3.000000,4256
2000-02-16,3.000000,3.250000,3.000000,3.250000,3.250000,2760
2000-02-17,3.000000,3.250000,3.000000,3.250000,3.250000,1240
2000-02-18,3.250000,3.250000,3.000000,3.250000,3.250000,840
2000-02-21,3.000000,3.250000,3.000000,3.250000,3.250000,3592
2000-02-22,3.250000,3.250000,3.250000,3.250000,3.250000,664
2000-02-23,3.000000,3.250000,3.000000,3.250000,3.250000,328
2000-02-24,3.250000,3.500000,3.000000,3.250000,3.250000,10188
2000-02-25,3.250000,3.500000,3.250000,3.250000,3.250000,356
2000-02-28,3.250000,3.250000,3.250000,3.250000,3.250000,720
2000-02-29,3.500000,3.500000,3.500000,3.500000,3.500000,280
2000-03-01,3.750000,3.750000,2.500000,2.500000,2.500000,0
2000-03-02,3.250000,3.250000,3.250000,3.250000,3.250000,540
2000-03-03,3.750000,3.750000,3.000000,3.000000,3.000000,0
2000-03-06,3.000000,3.000000,3.000000,3.000000,3.000000,0
2000-03-07,3.000000,3.000000,3.000000,3.000000,3.000000,0
2000-03-08,4.000000,4.000000,3.000000,3.000000,3.000000,0
2000-03-09,3.750000,3.750000,3.250000,3.250000,3.250000,0
2000-03-10,4.000000,4.000000,2.750000,2.750000,2.750000,0
2000-03-13,3.750000,3.750000,2.500000,2.500000,2.500000,0
2000-03-14,3.750000,3.750000,3.750000,3.750000,3.750000,40
2000-03-15,3.750000,3.750000,3.000000,3.000000,3.000000,0
2000-03-16,3.500000,3.750000,3.500000,3.750000,3.750000,1588
2000-03-17,3.500000,3.500000,3.500000,3.500000,3.500000,40
2000-03-20,3.750000,3.750000,2.500000,2.500000,2.500000,0
2000-03-21,3.250000,3.250000,3.250000,3.250000,3.250000,40
2000-03-22,3.500000,3.500000,3.500000,3.500000,3.500000,600
2000-03-23,3.500000,3.500000,3.000000,3.000000,3.000000,0
2000-03-24,3.000000,3.000000,3.000000,3.000000,3.000000,280
